country,t,onset2COWCS,decade,democracy,logmountain,ethnic_fractionalization,religion_fractionalization,language_fractionalization,leg_british,opec,logpop_M_diff,logpopdens_diff,logoutreg_diff,ecgrowth_demeaned,oilreserves_full,oilreserves,oilreserves_public,treat_agri,treat_mine,treat_fuel,treat_metal,iv_transport,iv_agri,iv_mine,iv_fuel,iv_metal
CIV,1991,0.0,7.0,0.0015,-0.0091629075,0.008204,0.007551,0.007842001,0.0,0.0,0.00042986125,0.00042986497,-0.00549379,-0.043945737,100000.0,,0.1,,,,,,0.0,0.0,1.0,0.0
CMR,1991,0.0,7.0,0.001,0.028735647,0.008635,0.007338,0.008898,0.0,0.0,0.00028681755,0.00028681755,-0.00549379,-0.07618286,0.722767,0.722767,0.4,1.0,1.0,,,1.0,0.0,0.0,1.0,0.0
COD,1991,0.0,7.0,0.001,0.014350845,0.008747,0.0070209997,0.008705,0.0,0.0,0.00033216178,0.00033216178,-0.00549379,-0.10152069,55640.0,,0.05564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
COG,1991,0.0,7.0,0.0045,-0.095670156,0.008747,0.0066420003,0.006871,0.0,0.0,0.00031023473,0.00031022914,-0.00549379,-0.018608026,1.7207005,1.7207005,0.76415,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0
COL,1991,,7.0,0.0095,0.03613617,0.006014,0.001478,0.00019300001,0.0,0.0,0.00020007044,0.00020006672,-0.0055420846,-0.022663604,5.297121,5.297121,1.9423001,,,1.0,1.0,,0.0,0.0,1.0,0.0
CPV,1991,0.0,7.0,,0.028154088,0.004174,0.000766,,0.0,0.0,0.00017977506,0.00017977506,-0.00549379,-0.071420506,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0,0.0
CRI,1991,0.0,7.0,0.01,0.031000923,0.002368,0.00241,0.000489,0.0,0.0,0.00024104118,0.00024104118,-0.0055420846,-0.023667842,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
CUB,1991,0.0,7.0,0.0015,,0.005908,0.005059,,0.0,0.0,9.278953e-05,9.2785805e-05,-0.0055420846,-0.13902733,100000.0,,0.1,0.0,,,,0.0,0.0,0.0,1.0,0.0
CYM,1991,0.0,7.0,,,,,,,0.0,,,-0.0055420846,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
CYP,1991,0.0,7.0,0.01,0.021972246,0.00093900005,0.003962,0.003962,0.01,0.0,,,-0.006785229,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
CZE,1991,,7.0,,,0.003222,0.006591,0.003233,,,-4.224479e-06,-4.224479e-06,-0.0021132082,-0.13737428,,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
DEU,1991,0.0,7.0,0.01,0.0069314716,0.001682,0.0065710004,0.0016419999,0.0,0.0,7.5779855e-05,7.578358e-05,-0.0021132082,0.020464532,0.73458326,0.73458326,0.425,,1.0,,1.0,,0.0,0.0,1.0,0.0
DJI,1991,0.0,7.0,0.001,0.013609766,0.007962,0.000435,0.0065579996,0.0,0.0,0.00024657324,0.00024657324,-0.00549379,-0.017349932,0.0,0.0,0.0,1.0,1.0,,,0.0,0.0,0.0,1.0,0.0
DNK,1991,0.0,7.0,0.01,-0.095670156,0.000819,0.002333,0.0010490001,0.0,0.0,2.6024878e-05,2.6024878e-05,-0.0021132082,-0.011074436,1.7408061,1.7408061,0.7079182,1.0,1.0,,1.0,0.0,0.0,0.0,1.0,0.0
DOM,1991,0.0,7.0,0.008,0.027972814,0.004294,0.003118,0.000395,0.0,0.0,0.0001957342,0.00019573048,-0.0055420846,-0.038341284,0.0,0.0,0.0,0.0,,1.0,,,0.0,0.0,1.0,0.0
DZA,1991,0.0,7.0,0.004,0.027536606,0.003394,9.1e-05,0.004427,0.0,1.0,0.00023557246,0.00023557246,-0.00549379,-0.053634264,11.0129175,11.0129175,9.2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
ECU,1991,0.0,7.0,0.0095,0.03637586,0.0065499996,0.001417,0.001308,0.0,1.0,0.000106967986,0.000106967986,-0.0055420846,0.021536643,4.6621466,4.6621466,1.4722,1.0,,,0.0,0.0,0.0,0.0,1.0,0.0
EGY,1991,0.0,7.0,0.002,0.0,0.0018359999,0.001979,0.000237,0.0,0.0,0.00025188178,0.00025187805,-0.00549379,-0.08111934,5.892571,5.892571,4.01765,,,,,,0.0,0.0,1.0,0.0
